dateid01,dateid,cpi,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
1996-04-01,1996-06-30 23:59:59.999,88.8,846468,1.3698630136986356,13.648827677123716,-0.0095151548035001808,4.80,88.64,1.3000906697539136
1996-07-01,1996-09-30 23:59:59.999,89.0,859988,1.3667425968109326,13.664673714643968,-0.0059275859695038232,4.29,88.18,1.1733575224554756
1996-10-01,1996-12-31 23:59:59.999,89.7,874208,2.0477815699658564,13.681073612593454,-0.0019208808656010488,3.22,89.76,3.0858560211665632
1997-01-01,1997-03-31 23:59:59.999,90.1,885828,2.1541950113378672,13.694278079815862,-0.0012611024602335874,3.00,90.19,3.8512207026392816
1997-04-01,1997-06-30 23:59:59.999,90.2,893424,1.5765765765765938,13.702816551206224,-0.0054343871199638016,3.01,88.66,2.6611574436124668
1997-07-01,1997-09-30 23:59:59.999,90.5,906964,1.6853932584269594,13.717858037019588,-0.0032865076622954348,3.25,89.07,3.4149651078858056
1997-10-01,1997-12-31 23:59:59.999,90.6,919288,1.0033444816053506,13.731354736356446,-0.0028766515673392944,3.70,87.65,2.3402793358567636
1998-01-01,1998-03-31 23:59:59.999,91.1,929972,1.1098779134295134,13.742909757149316,-0.004611043415886584,4.59,86.87,1.9026014147303412
1998-04-01,1998-06-30 23:59:59.999,91.1,932168,0.99778270509975904,13.745268334934024,-0.015751982278183974,4.75,86.09,1.4559699571266834
1998-07-01,1998-09-30 23:59:59.999,91.2,934900,0.77348066298343904,13.748194850679408,-0.02653973988931746,5.12,82.50,-1.8167655502181788
1998-10-01,1998-12-31 23:59:59.999,91.6,949880,1.103752759381904,13.764090939808738,-0.024567488541011428,5.17,79.99,-4.0336656017913984
1999-01-01,1999-03-31 23:59:59.999,91.9,968956,0.87815587266741872,13.783974482205206,-0.018795568727648872,5.00,81.92,-1.8416552136112472
1999-04-01,1999-06-30 23:59:59.999,92.6,989172,1.6465422612513824,13.804623508527208,-0.012408815488067048,4.59,84.60,1.0648616393050788
