dateid01,dateid,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
2000-01-01,2000-03-31 23:59:59.999,167629,2.8,12.02950848308823,0.0055522648083101696,5.50,102.6,2.1712724394336788
2000-04-01,2000-06-30 23:59:59.999,170008,3.1,12.043600773748696,0.004044421475345672,6.00,97.4,-2.9165630586148552
2000-07-01,2000-09-30 23:59:59.999,174218,6.1,12.068062667568728,0.012767601017021236,6.25,97.0,-3.3007533440384408
2000-10-01,2000-12-31 23:59:59.999,173336,5.8,12.062987186386544,-0.0081864912195683808,6.25,92.3,-8.1011799027559168
2001-01-01,2001-03-31 23:59:59.999,177989,6.0,12.089477029611852,0.0022755479335234696,5.50,93.8,-6.8356612498461544
2001-04-01,2001-06-30 23:59:59.999,180003,6.1,12.100728796400126,-0.002653862052984124,5.00,93.1,-7.9169526629488016
2001-07-01,2001-09-30 23:59:59.999,183328,2.5,12.119032177208304,-0.00069063262436763752,4.75,93.0,-8.55353713142236
2001-10-01,2001-12-31 23:59:59.999,186140,3.1,12.134254357739702,-0.0019715213157400768,4.25,93.8,-8.4489495492109792
2002-01-01,2002-03-31 23:59:59.999,190048,3.0,12.155031950815588,0.0021365731011364632,4.25,97.1,-6.0013788495516568
2002-04-01,2002-06-30 23:59:59.999,193791,2.8,12.174535537731966,0.0048019525300571072,4.75,100.5,-3.6037333722130712
2002-07-01,2002-09-30 23:59:59.999,196203,3.3,12.186905116516378,0.00016100024816445568,4.75,97.3,-7.945170595183
2002-10-01,2002-12-31 23:59:59.999,199673,3.1,12.204436307458976,0.00050272057488776056,4.75,99.6,-6.9125956630915368
2003-01-01,2003-03-31 23:59:59.999,201872,3.4,12.215389112167524,-0.0059196014778901688,4.75,103.6,-4.2879479889467544
2003-04-01,2003-06-30 23:59:59.999,203988,2.6,12.22581644756677,-0.013060079781656242,4.75,110.2,0.851153386532772
2003-07-01,2003-09-30 23:59:59.999,208883,2.5,12.249529565583164,-0.0071107934552934184,4.75,113.4,2.5297693901214728
2003-10-01,2003-12-31 23:59:59.999,214084,2.4,12.274123740351332,-0.00047163685964513032,5.25,119.7,7.2724289777271872
2004-01-01,2004-03-31 23:59:59.999,218270,1.9,12.293488107533124,0.00075580141757569664,5.25,126.0,12.002079999388898
2004-04-01,2004-06-30 23:59:59.999,220792,2.5,12.304976360844628,-0.0060652143840620456,5.25,119.5,3.9371250370345336
2004-07-01,2004-09-30 23:59:59.999,224296,2.3,12.320721887090258,-0.0087921993125608112,5.25,118.6,1.4884653725922448
2004-10-01,2004-12-31 23:59:59.999,228364,2.6,12.338696126127276,-0.0094408246040824656,5.25,123.3,4.6645415848420552
2005-01-01,2005-03-31 23:59:59.999,232750,2.4,12.357720195139314,-0.0091715890438450736,5.50,125.5,5.3728639617061448
2005-04-01,2005-06-30 23:59:59.999,236828,2.5,12.37508941824505,-0.01066488396663523,5.50,125.9,4.3180274526162352
2005-07-01,2005-09-30 23:59:59.999,243325,3.1,12.402153277294694,-0.0025412107325610832,5.50,127.0,4.0012689670280536
2005-10-01,2005-12-31 23:59:59.999,248319,2.7,12.422469488907026,-0.0012061703806693914,5.50,126.2,1.8211266472394668
